RPM,BSFC,Power
3000.669344,0.680239521,0.062323205
3081.659973,0.668263473,0.067406877
3192.10174,0.653892216,0.07476995
3302.543507,0.637125749,0.082645353
3405.62249,0.622754491,0.090472716
3493.975904,0.610778443,0.097558981
3619.14324,0.594011976,0.108211161
3714.859438,0.582035928,0.116855572
3810.575636,0.57005988,0.125944049
3898.92905,0.558083832,0.134736888
3994.645248,0.546107784,0.144709665
4060.910308,0.536526946,0.151891842
4171.352075,0.522155689,0.164378363
4267.068273,0.510179641,0.17573295
4399.598394,0.493413174,0.192292545
4495.314592,0.481437126,0.20487178
4591.03079,0.469461078,0.217982687
4664.658635,0.45988024,0.2284365
4775.100402,0.445508982,0.244729568
4841.365462,0.438323353,0.254864062
4937.08166,0.426347305,0.269986208
5040.160643,0.414371257,0.286921518
5157.965194,0.40239521,0.307118096
5275.769746,0.390419162,0.328231705
5364.123159,0.380838323,0.344680602
5452.476573,0.371257485,0.361664775
5570.281124,0.361676647,0.385157371
5688.085676,0.354491018,0.409636063
5769.076305,0.349700599,0.427047404
5879.518072,0.34251497,0.451567804
5989.959839,0.335329341,0.477000251
6070.950469,0.332934132,0.496239732
6210.843373,0.328143713,0.530665943
6306.559572,0.325748503,0.555106662
6387.550201,0.323353293,0.57635854
6468.54083,0.320958084,0.598140821
6593.708166,0.318562874,0.63286237
6696.787149,0.318562874,0.662435732
6851.405622,0.316167665,0.708484326
6954.484605,0.316167665,0.740328118
7109.103079,0.316167665,0.789843487
7248.995984,0.318562874,0.836484757
7396.251673,0.318562874,0.887507917
7506.69344,0.320958084,0.927094736
7617.135207,0.323353293,0.967830251
7720.21419,0.325748503,1.006900515
